n00000	MA==
n03223	MTc3Nzk2MDE3ODM4NzA5MTg1ODY0MzExNzY3MDQ=
n03224	MTc3Nzk2MDE3ODM4NzA5MTg1ODY0MzExNzY3MDQuMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDExODA1OTE2MjA3MTc0MTEzMDM0MjQ=
n03225	MTc3Nzk2MDE3ODM4NzA5MTg1ODY0MzExNzY3MDMuOTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTg4MTk0MDgzNzkyODI1ODg2OTY1NzY=
n03226	Mjk3ODQyODcyODM5NTgzMjQ3NTc3OTg0Mzc1MTkzNjA=
n03227	Mjk3ODQyODcyODM5NTgzMjQ3NTc3OTg0Mzc1MTkzNjAuMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDI0MTc4NTE2MzkyMjkyNTgzNDk0MTIzNTI=
n03228	Mjk3ODQyODcyODM5NTgzMjQ3NTc3OTg0Mzc1MTkzNTkuOTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTc1ODIxNDgzNjA3NzA3NDE2NTA1ODc2NDg=
n03229	MzI1Mjk0ODMy
n03230	MzI1Mjk0ODMyLjAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDMy
n03231	MzI1Mjk0ODMxLjk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTY4
n03232	NDk2NzU0Nzk1MzA4NTczODU1NDE0ODc2MjM5ODk4MzQ1NDcyMA==
n03233	NDk2NzU0Nzk1MzA4NTczODU1NDE0ODc2MjM5ODk4MzQ1NDcyMC4wMDAwMDAwMDAwMDAwMDAwMDAwMDMxNjkxMjY1MDA1NzA1NzM1MDM3NDE3NTgwMTM0NA==
n03234	NDk2NzU0Nzk1MzA4NTczODU1NDE0ODc2MjM5ODk4MzQ1NDcxOS45OTk5OTk5OTk5OTk5OTk5OTk5OTY4MzA4NzM0OTk0Mjk0MjY0OTYyNTgyNDE5ODY1Ng==
n03235	MTA2Mjc1MTk4OTY1NzU0MjU3NTcxMzQ3MTY5Mjg=
n03236	MTA2Mjc1MTk4OTY1NzU0MjU3NTcxMzQ3MTY5MjguMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDExODA1OTE2MjA3MTc0MTEzMDM0MjQ=
n03237	MTA2Mjc1MTk4OTY1NzU0MjU3NTcxMzQ3MTY5MjcuOTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTg4MTk0MDgzNzkyODI1ODg2OTY1NzY=
n03238	Mi4xMjc0NDc3MjY5OTExMDM3OTM1NDc5MjE0NDExMzE2MjA2Njc4NzQ4MTMwNzk4MzM5ODQzNzVFLTEz
n03239	Mi4xMjc0NDc3MjY5OTExMDM3OTM1NDc5MjE0NDExMzE2MjA2Njc4NzQ4MTMwNzk4MzM5ODQzNzUwMDEzNTUyNTI3MTU2MDY4ODA1NDI1MDkzMTYwMDEwODc0MjcxMzkyODIyMjY1NjI1RS0xMw==
n03240	Mi4xMjc0NDc3MjY5OTExMDM3OTM1NDc5MjE0NDExMzE2MjA2Njc4NzQ4MTMwNzk4MzM5ODQzNzQ5OTg2NDQ3NDcyODQzOTMxMTk0NTc0OTA2ODM5OTg5MTI1NzI4NjA3MTc3NzM0Mzc1RS0xMw==
n03241	Ni4xMzA0ODk5MzgzMTY0NzQ1NDc4NzM0MjAzNzUxNTY5OTgzMjAyOTQzMTAzNzgzODY2MjYzMjU2NjQxMTA0ODE3MzkwNDQxODk0NTMxMjVFLTI0
n03242	Ni4xMzA0ODk5MzgzMTY0NzQ1NDc4NzM0MjAzNzUxNTY5OTgzMjAyOTQzMTAzNzgzODY2MjYzMjU2NjgwNTQ3ODYyNjUxNDkyNDg0ODAxODM2NDI4MjY0MTM5MzExNDgzNjYwMzIxNzU1NDUxMTUwMjM4NTEzOTQ2NTMzMjAzMTI1RS0yNA==
n03243	Ni4xMzA0ODk5MzgzMTY0NzQ1NDc4NzM0MjAzNzUxNTY5OTgzMjAyOTQzMTAzNzgzODY2MjYzMjU2NjAxNjYxNzcyMTI5MzkxMzA0MjYwNjYzNTcxNzM1ODYwNjg4NTE2MzM5Njc4MjQ0NTQ4ODQ5NzYxNDg2MDUzNDY2Nzk2ODc1RS0yNA==
n03244	MzE4NDgzMTgwODkxOTMwNjI0
n03245	MzE4NDgzMTgwODkxOTMwNjI0LjAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDM0MzU5NzM4MzY4
n03246	MzE4NDgzMTgwODkxOTMwNjIzLjk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTY1NjQwMjYxNjMy
n03247	NTUzMDk5NjI2MjkzMTI3NjI0MzQzODY3Njc5NzYwNzExNjgw
n03248	NTUzMDk5NjI2MjkzMTI3NjI0MzQzODY3Njc5NzYwNzExNjgwLjAwMDAwMDAwMDAwMDAwMDAwMDAwMDM5NjE0MDgxMjU3MTMyMTY4Nzk2NzcxOTc1MTY4
n03249	NTUzMDk5NjI2MjkzMTI3NjI0MzQzODY3Njc5NzYwNzExNjc5Ljk5OTk5OTk5OTk5OTk5OTk5OTk5OTYwMzg1OTE4NzQyODY3ODMxMjAzMjI4MDI0ODMy
n03250	Ni4yMDE4ODAzNTczMDM2MTYwMDA5NTcwNDk4Mjc5NDIxNTgzOTIwMTMzODE5MTYzNTc5MDEyMjEzNjg0NTg1ODUxMDkyMjkwMTk4NDk0MDgzNTk3MzI0Nzg4NTcwNDA0MDUyNzM0Mzc1RS0zNQ==
n03251	Ni4yMDE4ODAzNTczMDM2MTYwMDA5NTcwNDk4Mjc5NDIxNTgzOTIwMTMzODE5MTYzNTc5MDEyMjEzNzQxOTgzMDM2MTkxMDM0NzA1NzE5MTE5NTYxMDU2MzQzNTM1MTQxMjkyMjYzNTE0MjYyMDg2MDExMTY5NTE2OTA4MTI1ODQyNzQ2ODEyODUwMjM2ODkyNzAwMTk1MzEyNUUtMzU=
n03252	Ni4yMDE4ODAzNTczMDM2MTYwMDA5NTcwNDk4Mjc5NDIxNTgzOTIwMTMzODE5MTYzNTc5MDEyMjEzNjI3MTg4NjY1OTkzNTQ1NjkxMjY5MDQ3NjMzNTkzMjMzNjA1NjY2ODEzMjA1MjM1NzM3OTEzOTg4ODMwNDgzMDkxODc0MTU3MjUzMTg3MTQ5NzYzMTA3Mjk5ODA0Njg3NUUtMzU=
n03253	MzYzNDk0MzcwOTk0NzQwODg3ODE0MTQ0
n03254	MzYzNDk0MzcwOTk0NzQwODg3ODE0MTQ0LjAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDM2MDI4Nzk3MDE4OTYzOTY4
n03255	MzYzNDk0MzcwOTk0NzQwODg3ODE0MTQzLjk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTYzOTcxMjAyOTgxMDM2MDMy
n03256	My43ODYzMDM3NzI2MTM1Njg4Nzc4MDU2NzkwNjUwMDU1ODMyMTUxMjEzNDMwNzY5NTg3Mzc1ODM0ODE3MDY2Nzg4NjczNDAwODc4OTA2MjVFLTI0
n03257	My43ODYzMDM3NzI2MTM1Njg4Nzc4MDU2NzkwNjUwMDU1ODMyMTUxMjEzNDMwNzY5NTg3Mzc1ODM0ODU2NTA5ODMzOTM0NDUxNDY5MTc2ODM2NDI4MjY0MTM5MzExNDgzNjYwMzIxNzU1NDUxMTUwMjM4NTEzOTQ2NTMzMjAzMTI1RS0yNA==
n03258	My43ODYzMDM3NzI2MTM1Njg4Nzc4MDU2NzkwNjUwMDU1ODMyMTUxMjEzNDMwNzY5NTg3Mzc1ODM0Nzc3NjIzNzQzNDEyMzUwMjg4NjM1NjYzNTcxNzM1ODYwNjg4NTE2MzM5Njc4MjQ0NTQ4ODQ5NzYxNDg2MDUzNDY2Nzk2ODc1RS0yNA==
n03259	MC4wMDAwOTg2NTYyMDQ1MDAwMDI3ODY1MTcxNDMyNDk1MTE3MTg3NQ==
n03260	MC4wMDAwOTg2NTYyMDQ1MDAwMDI3ODY1MTcxNDMyNDk1MTE3MTg3NTAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwNzI3NTk1NzYxNDE4MzQyNTkwMzMyMDMxMjU=
n03261	MC4wMDAwOTg2NTYyMDQ1MDAwMDI3ODY1MTcxNDMyNDk1MTE3MTg3NDk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5MjcyNDA0MjM4NTgxNjU3NDA5NjY3OTY4NzU=
n03262	NC40Nzg3MDA3NzA2Nzc1MjY0NDQyOTQyMjgwMzYyOTEzNzIwNjM3MTUyNDM3MTIwNjc2MDQwNjQ5NDE0MDYyNUUtMTc=
n03263	NC40Nzg3MDA3NzA2Nzc1MjY0NDQyOTQyMjgwMzYyOTEzNzIwNjM3MTUyNDM3MTIwNjc2MDQwNjQ5NDQ3MTQ5NzI0NTAyMTIxMTA2OTk0ODU2MzQ3NjgyNzk4NTE0MTQyNjMyNDg0NDM2MDM1MTU2MjVFLTE3
n03264	NC40Nzg3MDA3NzA2Nzc1MjY0NDQyOTQyMjgwMzYyOTEzNzIwNjM3MTUyNDM3MTIwNjc2MDQwNjQ5MzgwOTc1Mjc1NDk3ODc4ODkzMDA1MTQzNjUyMzE3MjAxNDg1ODU3MzY3NTE1NTYzOTY0ODQzNzVFLTE3
n03265	My41NjI0OTA3MjAxODk2MTIzODIyMjM5MDc0MzkyNzU3OTA0ODA4MzUyMTQ2NTMyNTY3MDk1MTYwNzE1MDk4MjQ1NDE4NjMwNTQwMzcwOTQxMTYyMTA5Mzc1RS0yOA==
n03266	My41NjI0OTA3MjAxODk2MTIzODIyMjM5MDc0MzkyNzU3OTA0ODA4MzUyMTQ2NTMyNTY3MDk1MTYwNzM5MTcyMzY5NzIzNDcwOTg4NTM0MTQwODg2MzkxNjg2NTkxNDgxNzI2MjcwNjAyNjkyMzUyNDQwNDk5MjM0OTQ0NTgxOTg1NDczNjMyODEyNUUtMjg=
n03267	My41NjI0OTA3MjAxODk2MTIzODIyMjM5MDc0MzkyNzU3OTA0ODA4MzUyMTQ2NTMyNTY3MDk1MTYwNjkxMDI0MTIxMTEzNzkwMDkyMjA3NzQxNDM3ODI3MDYzNDA4NTE4MjczNzI5Mzk3MzA3NjQ3NTU5NTAwNzY1MDU1NDE4MDE0NTI2MzY3MTg3NUUtMjg=
n03268	OS4xNjY4NTU1Mzg5MDIzMzA3MzQzODk0NTkxOTI5MzEyOTgzMzA0MDMzNjM0Mjg3MTEwNDU3Njc4Mjg1MzU3OTA3NTU0OTUzMjcxNzU1OTQ4NjYyNzU3ODczNTM1MTU2MjVFLTMy
n03269	OS4xNjY4NTU1Mzg5MDIzMzA3MzQzODk0NTkxOTI5MzEyOTgzMzA0MDMzNjM0Mjg3MTEwNDU3Njc4MzQ0MTMyNjI1MDk2MDY3NjQ3MTU0Mzg1NDg5NjE4OTg1ODE5MDQ3MTgzMjc3ODM4NjA0Mzc2MDc1NDM3NTg1MzEzOTIwODYyOTcyNzM2MzU4NjQyNTc4MTI1RS0zMg==
n03270	OS4xNjY4NTU1Mzg5MDIzMzA3MzQzODk0NTkxOTI5MzEyOTgzMzA0MDMzNjM0Mjg3MTEwNDU3Njc4MjI2NTgzMTkwMDEzODM4ODk2MzU3NTExODM1ODk2NzYxMjUxMjY1MzE2NzIyMTYxMzk1NjIzOTI0NTYyNDE0Njg2MDc5MTM3MDI3MjYzNjQxMzU3NDIxODc1RS0zMg==
n03271	OC43OTA2MzMxNDk0NjYwODgzNzYzMjM2MDYyNDY5ODMyMzQ5NzE4OTEwOTMzNzg0MDQ3MjI1NDc2MzIyMzkxMTY5NDg5MDE3ODAzNjg0MzA1MzYzMjc2NTA3NzA1NDUwMDU3OTgzMzk4NDM3NUUtMzc=
n03272	OC43OTA2MzMxNDk0NjYwODgzNzYzMjM2MDYyNDY5ODMyMzQ5NzE4OTEwOTMzNzg0MDQ3MjI1NDc2NDEyMDc0MjcxMjA1ODA2MDk2MjIzNDI0MDU2NjA3MDYyMzM3ODUxOTk0NzQ3Njc4NTM0NTA5MzkyNDUyMzcwMTY4OTQ2NjI5MjkxODk1MDc4NDk1MTQ0ODQ0MDU1MTc1NzgxMjVFLTM3
n03273	OC43OTA2MzMxNDk0NjYwODgzNzYzMjM2MDYyNDY5ODMyMzQ5NzE4OTEwOTMzNzg0MDQ3MjI1NDc2MjMyNzA4MDY3NzcyMjI5NTExMTQ1MTg2NjY5OTQ1OTUzMDczMDQ4MTIxMjE5MTE4MzQwNDkwNjA3NTQ3NjI5ODMxMDUzMzcwNzA4MTA0OTIxNTA0ODU1MTU1OTQ0ODI0MjE4NzVFLTM3
n03274	Mi44NDgwMTI1NDEwNDIxMTc0NDk5Nzc1NjE0MTIwMDExMTg0NTg5NjM0OTcwNjMxMjEyMzY5NDkxNjc0ODM4NDA0ODU1MDY5MDczOTE3NjYxNjI2MTgyOTYyMjA4OTg2MjgyMzQ4NjMyODEyNUUtMzY=
n03275	Mi44NDgwMTI1NDEwNDIxMTc0NDk5Nzc1NjE0MTIwMDExMTg0NTg5NjM0OTcwNjMxMjEyMzY5NDkxNjkyNzc1MDI1MTk4NDI2NzMyNDI1NDg1MzY0ODQ5MDczMTM1NDY2NjY5NzAxNDg4ODMxOTAxODc4NDkwNDc0MDMzNzg5MzI1ODU4Mzc5MDE1Njk5MDI4OTY4ODExMDM1MTU2MjVFLTM2
n03276	Mi44NDgwMTI1NDEwNDIxMTc0NDk5Nzc1NjE0MTIwMDExMTg0NTg5NjM0OTcwNjMxMjEyMzY5NDkxNjU2OTAxNzg0NTExNzExNDE1NDA5ODM3ODg3NTE2ODUxMjgyNTA1ODk0OTk1Nzc2NzkzMDk4MTIxNTA5NTI1OTY2MjEwNjc0MTQxNjIwOTg0MzAwOTcxMDMxMTg4OTY0ODQzNzVFLTM2
n03277	MzA4ODgyNDQ4
n03278	MzA4ODgyNDQ4LjAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDMy
n03279	MzA4ODgyNDQ3Ljk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTY4
n03280	Mi42MzExMzM5NjE3NzEwODg4NzE1MjkyMTY5NzQ0MTUzMjE2NzI2MDkwMjQ5NzIxODkyMTc4MDU4NjI0MjY3NTc4MTI1RS0xOQ==
n03281	Mi42MzExMzM5NjE3NzEwODg4NzE1MjkyMTY5NzQ0MTUzMjE2NzI2MDkwMjQ5NzIxODkyMTc4MDU4NjUwMTE2OTcyMjY3MjgyMTE0ODM5NzMxNTIxNjI3MTg2MzM5MTczOTMxNjI4NDY1NjUyNDY1ODIwMzEyNUUtMTk=
n03282	Mi42MzExMzM5NjE3NzEwODg4NzE1MjkyMTY5NzQ0MTUzMjE2NzI2MDkwMjQ5NzIxODkyMTc4MDU4NTk4NDE4MTgzOTgyNzE3ODg1MTYwMjY4NDc4MzcyODEzNjYwODI2MDY4MzcxNTM0MzQ3NTM0MTc5Njg3NUUtMTk=
n03283	NzE1Mzc3MzQzODk2OTY1NjczNjIxMjAwNTY4MzI=
n03284	NzE1Mzc3MzQzODk2OTY1NjczNjIxMjAwNTY4MzIuMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDQ3MjIzNjY0ODI4Njk2NDUyMTM2OTY=
n03285	NzE1Mzc3MzQzODk2OTY1NjczNjIxMjAwNTY4MzEuOTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTUyNzc2MzM1MTcxMzAzNTQ3ODYzMDQ=
n03286	MC4wMDA4NDU4NjE4MjQ5Mjc4NTE1NTc3MzE2Mjg0MTc5Njg3NQ==
n03287	MC4wMDA4NDU4NjE4MjQ5Mjc4NTE1NTc3MzE2Mjg0MTc5Njg3NTAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA1ODIwNzY2MDkxMzQ2NzQwNzIyNjU2MjU=
n03288	MC4wMDA4NDU4NjE4MjQ5Mjc4NTE1NTc3MzE2Mjg0MTc5Njg3NDk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk0MTc5MjMzOTA4NjUzMjU5Mjc3MzQzNzU=
n03289	My45MDYwNzgxOTk3MDkzODIxNTE3Mzg4MjEyMjk3NDg2MzI3MzUxMjM2OTIzMjc3NjEwOTEyOTE5MDQ0NDk0NjI4OTA2MjVFLTIw
n03290	My45MDYwNzgxOTk3MDkzODIxNTE3Mzg4MjEyMjk3NDg2MzI3MzUxMjM2OTIzMjc3NjEwOTEyOTE5MDc2ODA2MzcxNTg0MTAyNjQzNTQ5NjY0NDAyMDMzOTgyOTIzOTY3NDE0NTM1NTgyMDY1NTgyMjc1MzkwNjI1RS0yMA==
n03291	My45MDYwNzgxOTk3MDkzODIxNTE3Mzg4MjEyMjk3NDg2MzI3MzUxMjM2OTIzMjc3NjEwOTEyOTE5MDEyMTgyODg2MjI4Mzk3MzU2NDUwMzM1NTk3OTY2MDE3MDc2MDMyNTg1NDY0NDE3OTM0NDE3NzI0NjA5Mzc1RS0yMA==
n03292	Mi4yNTM4MTc5NjgwNDcwNDEwOTYzOTUyNTkxMjA4MzY4NzU5NDM3OTY4ODQyMzYyOTIwNDQwNzkxNjQwNDMwNjg4ODU4MDMyMjI2NTYyNUUtMjM=
n03293	Mi4yNTM4MTc5NjgwNDcwNDEwOTYzOTUyNTkxMjA4MzY4NzU5NDM3OTY4ODQyMzYyOTIwNDQwNzkxNjU2MjA3OTA2OTYyNDUyNDYyNjcwNzM0NTcxMzA1NjU1NzI0NTkzNDY0MTI4NzAyMTgwNDYwMDk1NDA1NTc4NjEzMjgxMjVFLTIz
n03294	Mi4yNTM4MTc5NjgwNDcwNDEwOTYzOTUyNTkxMjA4MzY4NzU5NDM3OTY4ODQyMzYyOTIwNDQwNzkxNjI0NjUzNDcwNzUzNjExOTkwNDU0MjY1NDI4Njk0MzQ0Mjc1NDA2NTM1ODcxMjk3ODE5NTM5OTA0NTk0NDIxMzg2NzE4NzVFLTIz
n03295	MjU0MzI1ODAyNDE3MzQwNzUzMzQ3ODcwNzI=
n03296	MjU0MzI1ODAyNDE3MzQwNzUzMzQ3ODcwNzIuMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDIzMDU4NDMwMDkyMTM2OTM5NTI=
n03297	MjU0MzI1ODAyNDE3MzQwNzUzMzQ3ODcwNzEuOTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTc2OTQxNTY5OTA3ODYzMDYwNDg=
n03298	NS4wMzYyNTMxODUzMTk4NjExMDMxNTMwMTYzMDE4MDMyOTA4NDM5NjM2MjMwNDY4NzVFLTEx
n03299	NS4wMzYyNTMxODUzMTk4NjExMDMxNTMwMTYzMDE4MDMyOTA4NDM5NjM2MjMwNDY4NzUwMDAwMDAwMDM0Njk0NDY5NTE5NTM2MTQxODg4MjM4NDg5NjI3ODM4MTM0NzY1NjI1RS0xMQ==
n03300	NS4wMzYyNTMxODUzMTk4NjExMDMxNTMwMTYzMDE4MDMyOTA4NDM5NjM2MjMwNDY4NzQ5OTk5OTk5OTY1MzA1NTMwNDgwNDYzODU4MTExNzYxNTEwMzcyMTYxODY1MjM0Mzc1RS0xMQ==
n03301	Mi43MTIzODg3NjAzOTgyNjMzNDAzNTE4NjUzNTE3NzQ0MTg4OTg1ODQxOTY0MDUzMjMzMTM0MDM2NjIwMDY4MjQxMjQ2NjIwMzEzNjExNDM3MzI1MTA3NTQ0ODkzMzk4ODgwOTU4NTU3MTI4OTA2MjVFLTM4
n03302	Mi43MTIzODg3NjAzOTgyNjMzNDAzNTE4NjUzNTE3NzQ0MTg4OTg1ODQxOTY0MDUzMjMzMTM0MDM2NjQ4MDk0MjEwNTMzMTE2NjU1MDI5OTExOTE2NzczMzQzMjE2MDI0NDg2MTk3Mzk0NjU5MjIxNjg1MTQxMzY1Njc3Nzk1ODIxNjUzNzE3MjEyMDI5NzMyNzYzNzY3MjQyNDMxNjQwNjI1RS0zOA==
n03303	Mi43MTIzODg3NjAzOTgyNjMzNDAzNTE4NjUzNTE3NzQ0MTg4OTg1ODQxOTY0MDUzMjMzMTM0MDM2NTkyMDQyMjcxOTYwMTIzOTcyMTkyOTYyNzMzNDQxNzQ2NTcwNzczMjc1NzE5NzE5NTk4NTkwODE0ODU4NjM0MzIyMjA0MTc4MzQ2MjgyNzg3OTcwMjY3MjM2MjMyNzU3NTY4MzU5Mzc1RS0zOA==
n03304	MTQ3MzAyNjYwMDEzOTMzMTgxMjk0MjkzODExMg==
n03305	MTQ3MzAyNjYwMDEzOTMzMTgxMjk0MjkzODExMi4wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDE0NzU3Mzk1MjU4OTY3NjQxMjkyOA==
n03306	MTQ3MzAyNjYwMDEzOTMzMTgxMjk0MjkzODExMS45OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTg1MjQyNjA0NzQxMDMyMzU4NzA3Mg==
n03307	MjY4NTY3NzkzODk0NDQ4MjYyNzY2MTEyMjc2NDg=
n03308	MjY4NTY3NzkzODk0NDQ4MjYyNzY2MTEyMjc2NDguMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDIzNjExODMyNDE0MzQ4MjI2MDY4NDg=
n03309	MjY4NTY3NzkzODk0NDQ4MjYyNzY2MTEyMjc2NDcuOTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTc2Mzg4MTY3NTg1NjUxNzczOTMxNTI=
n03310	OS43ODk4MTY1ODg4NjU3OTMxNjAzMjQwMzg0MDQ1MDcxODAzOTY1NzM2MDEyNTUzODMzMjM0MDUxMTI2MDU1NDE5NDQ1MDM3ODQxNzk2ODc1RS0yNQ==
n03311	OS43ODk4MTY1ODg4NjU3OTMxNjAzMjQwMzg0MDQ1MDcxODAzOTY1NzM2MDEyNTUzODMzMjM0MDUxMjI0NjYzMDMyNTk3NjY0MzE3NDczMzQxMDcwNjYwMzQ4Mjc4NzA5MTUwODA0Mzg4NjI3ODc1NTk2Mjg0ODY2MzMzMDA3ODEyNUUtMjU=
n03312	OS43ODk4MTY1ODg4NjU3OTMxNjAzMjQwMzg0MDQ1MDcxODAzOTY1NzM2MDEyNTUzODMzMjM0MDUxMDI3NDQ3ODA2MjkyNDExMzY2MTIwNDA4OTI5MzM5NjUxNzIxMjkwODQ5MTk1NjExMzcyMTI0NDAzNzE1MTMzNjY2OTkyMTg3NUUtMjU=
n03313	NTIzLjA3MjI5NjE0MjU3ODEyNQ==
n03314	NTIzLjA3MjI5NjE0MjU3ODEyNTAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDYxMDM1MTU2MjU=
n03315	NTIzLjA3MjI5NjE0MjU3ODEyNDk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTM4OTY0ODQzNzU=
n03316	OC4xODgzMjc2MDkyNTEwMDExMzIzOTk3MTgxMzQyNTQyODA3NDk0ODI4MzIzODE5NjQ0Njc2MTc0Njc1NTEyNzQ3NTY5NDI4MDI5MjM3MzE1MDU4NzA4MTkwOTE3OTY4NzVFLTMy
n03317	OC4xODgzMjc2MDkyNTEwMDExMzIzOTk3MTgxMzQyNTQyODA3NDk0ODI4MzIzODE5NjQ0Njc2MTc0NzM0Mjg3NDY1MTEwNTQyNDA0NjM1NzUxODg1NTY5MzAzMjAxODU5NjgzMjc3ODM4NjA0Mzc2MDc1NDM3NTg1MzEzOTIwODYyOTcyNzM2MzU4NjQyNTc4MTI1RS0zMg==
n03318	OC4xODgzMjc2MDkyNTEwMDExMzIzOTk3MTgxMzQyNTQyODA3NDk0ODI4MzIzODE5NjQ0Njc2MTc0NjE2NzM4MDMwMDI4MzEzNjUzODM4ODc4MjMxODQ3MDc4NjM0MDc3ODE2NzIyMTYxMzk1NjIzOTI0NTYyNDE0Njg2MDc5MTM3MDI3MjYzNjQxMzU3NDIxODc1RS0zMg==
n03319	NDkyMjgxMzM3MDYyNDU5NTM1NTIzODQ=
n03320	NDkyMjgxMzM3MDYyNDU5NTM1NTIzODQuMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDQ1MDM1OTk2MjczNzA0OTY=
n03321	NDkyMjgxMzM3MDYyNDU5NTM1NTIzODMuOTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTU0OTY0MDAzNzI2Mjk1MDQ=
n03322	ODA3NjgyNDE1MDAxNg==
n03323	ODA3NjgyNDE1MDAxNi4wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDUyNDI4OA==
n03324	ODA3NjgyNDE1MDAxNS45OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTk5OTQ3NTcxMg==
n03325	MS43NDQ5MzYxNTQxOTkxODY1Mjc4MzMwNjc0ODc3Mjc0MTQ4NDg4MTc2NjQ1ODEzNzIxMDcwNzUyNTkyOTkyMTI4NjQ5MzA5NjQ4MDAzMDI5NTkzNjEwMzM1NzIzNDk2OTczNTE0NTU2ODg0NzY1NjI1RS0zOA==
n03326	MS43NDQ5MzYxNTQxOTkxODY1Mjc4MzMwNjc0ODc3Mjc0MTQ4NDg4MTc2NjQ1ODEzNzIxMDcwNzUyNjA3MDA1MTEzMjkyNTU3ODE4NzEyMjY2ODg5NDQzMjM0ODg0ODA5Nzc2MTMzOTc1NjQ5OTIzMzQyNTcwNjgyODM4ODk3OTEwODI2ODU4NjA2MDE0ODY2MzgxODgzNjIxMjE1ODIwMzEyNUUtMzg=
n03327	MS43NDQ5MzYxNTQxOTkxODY1Mjc4MzMwNjc0ODc3Mjc0MTQ4NDg4MTc2NjQ1ODEzNzIxMDcwNzUyNTc4OTc5MTQ0MDA2MDYxNDc3MjkzNzkyMjk3Nzc3NDM2NTYyMTg0MTcwODk1MTM4MTE5NjA3OTA3NDI5MzE3MTYxMTAyMDg5MTczMTQxMzkzOTg1MTMzNjE4MTE2Mzc4Nzg0MTc5Njg3NUUtMzg=
n03328	NS40MDQ1MTg5MTkxODYyNDQxMjg4NjA1MTg5OTgxODA4NTA3NTgyMTcyNzUxNDI2Njk2Nzc3MzQzNzVFLTE1
n03329	NS40MDQ1MTg5MTkxODYyNDQxMjg4NjA1MTg5OTgxODA4NTA3NTgyMTcyNzUxNDI2Njk2Nzc3MzQzNzkyMzUxNjQ3MzYyNzE1MDE2OTUzNDE2MTI1MDMzOTgyMDk4MTAyNTY5NTgwMDc4MTI1RS0xNQ==
n03330	NS40MDQ1MTg5MTkxODYyNDQxMjg4NjA1MTg5OTgxODA4NTA3NTgyMTcyNzUxNDI2Njk2Nzc3MzQzNzA3NjQ4MzUyNjM3Mjg0OTgzMDQ2NTgzODc0OTY2MDE3OTAxODk3NDMwNDE5OTIxODc1RS0xNQ==
n03331	Ny42OTI1MzM0MzQ3NjQxNDU0ODc0NzkyNzg5Nzg0NTUzNzk2NjQyNzU1Mjg5NTk2NDc2MjkyNDU3NDM4NzE3MDY1MDg3OTg1MjQ3MzczNTgwOTMyNjE3MTg3NUUtMjk=
